GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
migueljuliana,com.autospark.migueljuliana.config,CorsConfig,8,0,0,0,2,0,2,0,2,0
migueljuliana,com.autospark.migueljuliana.config,CorsConfig.new WebMvcConfigurer() {...},60,0,0,0,6,0,2,0,2,0
migueljuliana,com.autospark.migueljuliana.services,UserServiceImpl,86,219,3,7,20,52,5,15,3,12
migueljuliana,com.autospark.migueljuliana.services,ReservationServiceImpl,7,250,0,4,2,66,1,15,1,13
migueljuliana,com.autospark.migueljuliana.services,SaleServiceImpl,0,228,0,10,0,57,0,14,0,9
migueljuliana,com.autospark.migueljuliana.services,CarWashServiceServiceImpl,0,94,0,0,0,22,0,7,0,7
migueljuliana,com.autospark.migueljuliana.controllers,SaleController,12,97,0,0,0,24,2,7,2,7
migueljuliana,com.autospark.migueljuliana.controllers,ReservationController,30,306,0,4,0,83,5,12,5,10
migueljuliana,com.autospark.migueljuliana.controllers,UserController,45,384,8,28,8,100,11,27,3,17
migueljuliana,com.autospark.migueljuliana.controllers,ServiceController,18,121,0,0,0,32,3,6,3,6
migueljuliana,com.autospark.migueljuliana.exception,ResourceNotFoundException,0,19,0,0,0,4,0,2,0,2
migueljuliana,com.autospark.migueljuliana.exception,EmailAlreadyExistsException,0,5,0,0,0,2,0,1,0,1
migueljuliana,com.autospark.migueljuliana,MigueljulianaApplication,8,5,0,0,2,2,2,2,2,2
migueljuliana,com.autospark.migueljuliana.models,ReservationRequestDTO,31,45,0,0,11,13,3,13,3,13
migueljuliana,com.autospark.migueljuliana.models,Reservation,24,52,0,0,9,15,1,15,1,15
migueljuliana,com.autospark.migueljuliana.models,VehicleType,0,39,0,0,0,7,0,1,0,1
migueljuliana,com.autospark.migueljuliana.models,Role,0,15,0,0,0,3,0,1,0,1
